Date,Open,High,Low,Close
1972-01-06,0.6004,0.6004,0.6004,0.6004
1972-01-07,0.6016,0.6016,0.6016,0.6016
1972-01-10,0.6053,0.6053,0.6053,0.6053
1972-01-11,0.6053,0.6053,0.6053,0.6053
1972-01-12,0.6084,0.6084,0.6084,0.6084
1972-01-13,0.611,0.611,0.611,0.611
1972-01-14,0.6108,0.6108,0.6108,0.6108
1972-01-17,0.6107,0.6107,0.6107,0.6107
1972-01-18,0.6097,0.6097,0.6097,0.6097
1972-01-19,0.6105,0.6105,0.6105,0.6105
1972-01-20,0.6097,0.6097,0.6097,0.6097
1972-01-21,0.6097,0.6097,0.6097,0.6097
1972-01-24,0.6109,0.6109,0.6109,0.6109
1972-01-25,0.6108,0.6108,0.6108,0.6108
1972-01-26,0.61,0.61,0.61,0.61
1972-01-27,0.6101,0.6101,0.6101,0.6101
1972-01-28,0.6101,0.6101,0.6101,0.6101
1972-01-31,0.611,0.611,0.611,0.611
1972-02-01,0.6128,0.6128,0.6128,0.6128
1972-02-02,0.6159,0.6159,0.6159,0.6159
1972-02-03,0.6143,0.6143,0.6143,0.6143
1972-02-04,0.6124,0.6124,0.6124,0.6124
1972-02-07,0.6133,0.6133,0.6133,0.6133
1972-02-08,0.6138,0.6138,0.6138,0.6138
1972-02-09,0.6147,0.6147,0.6147,0.6147
1972-02-10,0.615,0.615,0.615,0.615
1972-02-11,0.615,0.615,0.615,0.615
1972-02-14,0.6154,0.6154,0.6154,0.6154
1972-02-15,0.6152,0.6152,0.6152,0.6152
1972-02-16,0.6207,0.6207,0.6207,0.6207
1972-02-17,0.6172,0.6172,0.6172,0.6172
1972-02-18,0.6174,0.6174,0.6174,0.6174
1972-02-22,0.6161,0.6161,0.6161,0.6161
1972-02-23,0.6175,0.6175,0.6175,0.6175
1972-02-24,0.6149,0.6149,0.6149,0.6149
1972-02-25,0.6121,0.6121,0.6121,0.6121
1972-02-28,0.6133,0.6133,0.6133,0.6133
1972-02-29,0.6137,0.6137,0.6137,0.6137
1972-03-01,0.6137,0.6137,0.6137,0.6137
1972-03-02,0.6131,0.6131,0.6131,0.6131
1972-03-03,0.613,0.613,0.613,0.613
1972-03-06,0.6127,0.6127,0.6127,0.6127
1972-03-07,0.6137,0.6137,0.6137,0.6137
1972-03-08,0.6152,0.6152,0.6152,0.6152
1972-03-09,0.6157,0.6157,0.6157,0.6157
1972-03-10,0.6158,0.6158,0.6158,0.6158
1972-03-13,0.6166,0.6166,0.6166,0.6166
1972-03-14,0.6164,0.6164,0.6164,0.6164
1972-03-15,0.6172,0.6172,0.6172,0.6172
1972-03-16,0.6162,0.6162,0.6162,0.6162
1972-03-17,0.5954,0.5954,0.5954,0.5954
1972-03-20,0.6143,0.6143,0.6143,0.6143
1972-03-21,0.6138,0.6138,0.6138,0.6138
1972-03-22,0.6137,0.6137,0.6137,0.6137
1972-03-23,0.6136,0.6136,0.6136,0.6136
1972-03-24,0.6121,0.6121,0.6121,0.6121
1972-03-27,0.6126,0.6126,0.6126,0.6126
1972-03-28,0.6126,0.6126,0.6126,0.6126
1972-03-29,0.613,0.613,0.613,0.613
1972-03-30,0.6137,0.6137,0.6137,0.6137
1972-03-31,0.6142,0.6142,0.6142,0.6142
1972-04-03,0.6146,0.6146,0.6146,0.6146
1972-04-04,0.6137,0.6137,0.6137,0.6137
1972-04-05,0.613,0.613,0.613,0.613
1972-04-06,0.6123,0.6123,0.6123,0.6123
1972-04-07,0.613,0.613,0.613,0.613
1972-04-10,0.6129,0.6129,0.6129,0.6129
1972-04-11,0.6128,0.6128,0.6128,0.6128
1972-04-12,0.6132,0.6132,0.6132,0.6132
1972-04-13,0.6121,0.6121,0.6121,0.6121
1972-04-14,0.6119,0.6119,0.6119,0.6119
1972-04-17,0.6115,0.6115,0.6115,0.6115
1972-04-18,0.6087,0.6087,0.6087,0.6087
1972-04-19,0.6085,0.6085,0.6085,0.6085
1972-04-20,0.6101,0.6101,0.6101,0.6101
1972-04-21,0.6086,0.6086,0.6086,0.6086
1972-04-24,0.6097,0.6097,0.6097,0.6097
1972-04-25,0.609,0.609,0.609,0.609
1972-04-26,0.6083,0.6083,0.6083,0.6083
1972-04-27,0.6088,0.6088,0.6088,0.6088
1972-04-28,0.6086,0.6086,0.6086,0.6086
1972-05-01,0.6095,0.6095,0.6095,0.6095
1972-05-02,0.6087,0.6087,0.6087,0.6087
1972-05-03,0.6083,0.6083,0.6083,0.6083
1972-05-04,0.6086,0.6086,0.6086,0.6086
1972-05-05,0.6084,0.6084,0.6084,0.6084
1972-05-08,0.6084,0.6084,0.6084,0.6084
1972-05-09,0.6092,0.6092,0.6092,0.6092
1972-05-10,0.6089,0.6089,0.6089,0.6089
1972-05-11,0.6076,0.6076,0.6076,0.6076
1972-05-12,0.6073,0.6073,0.6073,0.6073
1972-05-15,0.6067,0.6067,0.6067,0.6067
1972-05-16,0.6066,0.6066,0.6066,0.6066
1972-05-17,0.6068,0.6068,0.6068,0.6068
1972-05-18,0.6064,0.6064,0.6064,0.6064
1972-05-19,0.606,0.606,0.606,0.606
1972-05-22,0.606,0.606,0.606,0.606
1972-05-23,0.6058,0.6058,0.6058,0.6058
1972-05-24,0.6037,0.6037,0.6037,0.6037
1972-05-25,0.6033,0.6033,0.6033,0.6033
1972-05-26,0.6037,0.6037,0.6037,0.6037
1972-05-30,0.6036,0.6036,0.6036,0.6036
1972-05-31,0.6025,0.6025,0.6025,0.6025
1972-06-01,0.6028,0.6028,0.6028,0.6028
1972-06-02,0.6026,0.6026,0.6026,0.6026
1972-06-05,0.6007,0.6007,0.6007,0.6007
1972-06-06,0.6007,0.6007,0.6007,0.6007
1972-06-07,0.601,0.601,0.601,0.601
1972-06-08,0.6,0.6,0.6,0.6
1972-06-09,0.5998,0.5998,0.5998,0.5998
1972-06-12,0.602,0.602,0.602,0.602
1972-06-13,0.6028,0.6028,0.6028,0.6028
1972-06-14,0.6011,0.6011,0.6011,0.6011
1972-06-15,0.6008,0.6008,0.6008,0.6008
1972-06-16,0.6007,0.6007,0.6007,0.6007
1972-06-19,0.6017,0.6017,0.6017,0.6017
1972-06-20,0.6019,0.6019,0.6019,0.6019
1972-06-21,0.6032,0.6032,0.6032,0.6032
1972-06-22,0.5997,0.5997,0.5997,0.5997
1972-06-23,0.6082,0.6082,0.6082,0.6082
1972-06-26,0.6071,0.6071,0.6071,0.6071
1972-06-27,0.604,0.604,0.604,0.604
1972-06-28,0.6059,0.6059,0.6059,0.6059
1972-06-29,0.6072,0.6072,0.6072,0.6072
1972-06-30,0.6101,0.6101,0.6101,0.6101
1972-07-03,0.6095,0.6095,0.6095,0.6095
1972-07-05,0.6084,0.6084,0.6084,0.6084
1972-07-06,0.6085,0.6085,0.6085,0.6085
